Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q15056|IF4H_HUMAN	sp|Q15056|IF4H_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	8.5	8.5	8.5	27.385	248	248	0	9.655	0	0	0	0	0	8.5	329990	0	0	0	0	0	329990	0	0	0	0	0	52677	0	0	0	0	0	1	1				515	1584	True	1612	2433	2522	2522		
sp|Q15149|PLEC_HUMAN;sp|Q9UPN3|MACF1_HUMAN	sp|Q15149|PLEC_HUMAN	49;1	49;1	49;1	0		0		0		0		0		0		0		sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	2	49	49	49	2	1	3	27	26	23	2	1	3	27	26	23	2	1	3	27	26	23	11.3	11.3	11.3	531.78	4684	4684;7388	0	323.31	0.7	0.2	0.7	6.1	6.5	5.1	17191000	152760	289570	401230	3970000	8644400	3732700	0	0	341930	549630	653640	738260	2	1	3	29	24	22	81				516	119;121;123;124;126;130;134;213;294;437;553;712;821;832;848;875;885;939;980;991;992;1000;1007;1016;1018;1019;1031;1033;1036;1113;1255;1260;1264;1285;1289;1302;1353;1363;1368;1378;1399;1414;1442;1443;1453;1475;1606;1672;1724	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	122;124;126;127;129;133;137;216;300;444;562;725;835;846;863;892;902;958;1000;1011;1012;1020;1027;1036;1038;1039;1051;1053;1056;1135;1277;1282;1286;1308;1312;1325;1377;1388;1393;1403;1424;1439;1468;1469;1479;1501;1634;1700;1754	195;196;197;198;199;201;202;203;204;206;207;209;215;222;350;351;466;467;677;847;1099;1271;1272;1273;1289;1290;1314;1363;1379;1380;1475;1537;1548;1549;1560;1561;1574;1575;1589;1590;1591;1592;1598;1599;1600;1618;1620;1621;1624;1625;1730;1731;1732;1934;1935;1936;1944;1945;1946;1952;1981;1986;1987;2005;2073;2074;2089;2090;2098;2112;2140;2141;2167;2210;2211;2231;2262;2464;2465;2557;2646;2647	197;198;199;200;201;203;204;205;206;207;209;210;212;219;226;364;365;484;485;699;876;1141;1320;1321;1322;1323;1339;1340;1364;1417;1435;1436;1536;1600;1612;1613;1624;1625;1639;1640;1654;1655;1656;1657;1663;1664;1665;1683;1685;1686;1689;1690;1796;1797;1798;2004;2005;2006;2014;2015;2016;2022;2051;2056;2057;2077;2149;2150;2166;2167;2177;2191;2219;2220;2247;2290;2291;2311;2342;2553;2554;2651;2745;2746	200;206;209;210;212;219;226;365;485;699;876;1141;1322;1339;1364;1417;1436;1536;1600;1612;1613;1624;1640;1656;1663;1665;1683;1686;1690;1796;2006;2014;2022;2051;2057;2077;2149;2166;2177;2191;2220;2247;2290;2291;2311;2342;2554;2651;2746		
sp|Q15181|IPYR_HUMAN	sp|Q15181|IPYR_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15181|IPYR_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	9.3	9.3	9.3	32.66	289	289	0	12.136	0	0	0	2.8	6.6	0	95862	0	0	0	95862	0	0	0	0	0	15939	0	0	0	0	0	1	1	0	2				517	231;627	True;True	235;638	381;958	397;988	397;988		
sp|Q15233|NONO_HUMAN	sp|Q15233|NONO_HUMAN	6	5	5	0		0		0		0		0		0		0		sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	1	6	5	5	0	0	0	2	4	0	0	0	0	2	3	0	0	0	0	2	3	0	11.3	9.6	9.6	54.231	471	471	0	29.734	0	0	0	3.6	7.6	0	953770	0	0	0	242870	710900	0	0	0	0	0	61674	0	0	0	0	2	3	0	5				518	90;176;543;882;1339;1637	True;False;True;True;True;True	92;179;552;899;1363;1665	155;295;832;1374;2055;2510	157;307;858;1430;2130;2601	157;307;858;1430;2130;2601	105	326
sp|Q15365|PCBP1_HUMAN;sp|P57721|PCBP3_HUMAN	sp|Q15365|PCBP1_HUMAN;sp|P57721|PCBP3_HUMAN	3;2	3;2	1;0	0		0		0		0		0		0		0		sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2;sp|P57721|PCBP3_HUMAN Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=2	2	3	3	1	0	0	1	2	2	1	0	0	1	2	2	1	0	0	1	1	1	1	12.4	12.4	3.7	37.497	356	356;371	0	40.281	0	0	3.7	9.3	6.7	3.7	949330	0	0	0	94180	485680	369470	0	0	0	0	0	58981	0	0	1	2	2	1	6				519	415;701;729	True;True;True	422;714;742	645;1078;1079;1080;1081;1124	667;1120;1121;1122;1123;1167	667;1122;1167	106	137
sp|Q15366|PCBP2_HUMAN	sp|Q15366|PCBP2_HUMAN	3	1	1	0		0		0		0		0		0		0		sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1	1	3	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	12.1	3.6	3.6	38.58	365	365	0	11.399	0	0	0	5.5	6.6	0	349040	0	0	0	0	349040	0	0	0	0	0	30281	0	0	0	0	0	1	0	1				520	415;700;729	False;True;False	422;713;742	645;1077;1124	667;1119;1167	667;1119;1167	106	137
sp|Q15369|ELOC_HUMAN	sp|Q15369|ELOC_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15369|ELOC_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	10.7	10.7	10.7	12.473	112	112	0	6.63	0	0	0	0	0	10.7	167560	0	0	0	0	0	167560	0	0	0	0	0	26748	0	0	0	0	0	1	1				521	929	True	948	1457	1517	1517		
sp|Q15370|ELOB_HUMAN	sp|Q15370|ELOB_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1	1	4	4	4	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	41.5	41.5	41.5	13.133	118	118	0	23.34	0	0	0	13.6	6.8	21.2	253750	0	0	0	128610	0	125130	0	0	0	21385	0	0	0	0	0	2	1	1	4				522	414;776;1542;1579	True;True;True;True	421;790;1569;1607	644;1211;2371;2428	666;1259;2455;2517	666;1259;2455;2517		
sp|Q15382|RHEB_HUMAN	sp|Q15382|RHEB_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15382|RHEB_HUMAN GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1	1	2	2	2	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	9.2	9.2	9.2	20.497	184	184	0	11.983	0	0	0	9.2	5.4	0	144320	0	0	0	58087	86234	0	0	0	0	0	7481.2	0	0	0	0	2	2	0	4				523	399;642	True;True	406;653	623;624;981	644;645;646;1012	646;1012		
sp|Q15413|RYR3_HUMAN	sp|Q15413|RYR3_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15413|RYR3_HUMAN Ryanodine receptor 3 OS=Homo sapiens OX=9606 GN=RYR3 PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.2	0.2	0.2	552.04	4870	4870	1	-2	0	0	0	0.2	0	0	13265	0	0	0	13265	0	0	0	0	0	2205.6	0	0	0	0	0	0	0	0	0	+			524	1104	True	1126	1717	1783	1783	107;108	1981;1982
sp|Q15459|SF3A1_HUMAN	sp|Q15459|SF3A1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1	1	2	2	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	2.6	2.6	2.6	88.885	793	793	0	19.579	0	0	0	0	2.6	1.5	318630	0	0	0	0	204860	113770	0	0	0	0	17772	0	0	0	0	0	1	1	2				525	673;1733	True;True	684;1763	1023;1024;2662	1054;1055;2761	1055;2761	109	714
sp|Q15691|MARE1_HUMAN	sp|Q15691|MARE1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3	1	2	2	2	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	7.5	7.5	7.5	29.999	268	268	0	16.624	0	0	0	7.5	3.7	3.7	797150	0	0	0	265200	378920	153030	0	0	0	0	0	24428	0	0	0	3	1	1	5				526	879;1032	True;True	896;1052	1368;1369;1370;1619	1423;1424;1425;1426;1684	1425;1684		
sp|Q15717|ELAV1_HUMAN;sp|Q12926|ELAV2_HUMAN;sp|P26378|ELAV4_HUMAN	sp|Q15717|ELAV1_HUMAN;sp|Q12926|ELAV2_HUMAN;sp|P26378|ELAV4_HUMAN	2;1;1	2;1;1	2;1;1	0		0		0		0		0		0		0		sp|Q15717|ELAV1_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2;sp|Q12926|ELAV2_HUMAN ELAV-like protein 2 OS=Homo sapiens OX=9606 GN=ELAVL2 PE=1 SV=2;sp|P26378|ELAV4_HUMAN ELAV-like protein 4 OS=Homo sapiens OX=9606 GN=ELAVL4 PE=1 SV=	3	2	2	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	4.9	4.9	4.9	36.091	326	326;359;385	0	12.209	0	0	0	0	4.9	2.8	490850	0	0	0	0	380240	110600	0	0	0	0	32988	0	0	0	0	0	2	1	3				527	76;718	True;True	78;731	129;130;1110	131;132;1153	131;1153		
sp|Q15758|AAAT_HUMAN	sp|Q15758|AAAT_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15758|AAAT_HUMAN Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2.2	2.2	2.2	56.598	541	541	0	7.6044	0	0	0	0	2.2	0	399800	0	0	0	0	399800	0	0	0	0	0	34685	0	0	0	0	0	1	0	1				528	564	True	574	864	893	893		
sp|Q15843|NEDD8_HUMAN	sp|Q15843|NEDD8_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15843|NEDD8_HUMAN NEDD8 OS=Homo sapiens OX=9606 GN=NEDD8 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	17.3	17.3	17.3	9.0714	81	81	0	7.4415	0	0	0	0	17.3	0	377680	0	0	0	0	377680	0	0	0	0	0	32766	0	0	0	0	0	1	0	1				529	709	True	722	1096	1138	1138		
sp|Q15942|ZYX_HUMAN	sp|Q15942|ZYX_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15942|ZYX_HUMAN Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1.9	1.9	1.9	61.277	572	572	0	6.0078	0	0	0	1.9	1.9	1.9	690040	0	0	0	284620	327670	77750	0	0	0	0	0	12412	0	0	0	1	1	1	3				530	1433	True	1459	2196;2197;2198	2276;2277;2278	2276		
sp|Q16181|SEPT7_HUMAN	sp|Q16181|SEPT7_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q16181|SEPT7_HUMAN Septin-7 OS=Homo sapiens OX=9606 GN=SEPTIN7 PE=1 SV=2	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	2.7	2.7	2.7	50.679	437	437	0	6.6042	0	0	0	2.7	2.7	2.7	384620	0	0	0	158000	226620	0	0	0	0	0	19660	0	0	0	0	1	1	1	3				531	306	True	312	485;486;487	503;504;505	504		
sp|Q16531|DDB1_HUMAN	sp|Q16531|DDB1_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	1	4	4	4	0	0	0	1	1	3	0	0	0	1	1	3	0	0	0	1	1	3	3.8	3.8	3.8	126.97	1140	1140	0	26.697	0	0	0	0.9	0.8	3	700600	0	0	0	109780	191360	399470	0	0	0	0	0	63769	0	0	0	1	1	3	5				532	101;938;1042;1286	True;True;True;True	103;957;1062;1309	170;1473;1474;1635;1982	172;1534;1535;1700;2052	172;1535;1700;2052		
sp|Q16555|DPYL2_HUMAN	sp|Q16555|DPYL2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q16555|DPYL2_HUMAN Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1.7	1.7	1.7	62.293	572	572	0.0017331	5.9318	0	0	0	1.7	0	0	94535	0	0	0	94535	0	0	0	0	0	15719	0	0	0	0	0	1	0	0	1				533	1448	True	1474	2222	2302	2302		
sp|Q16643|DREB_HUMAN	sp|Q16643|DREB_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2.5	2.5	2.5	71.428	649	649	0	6.1664	0	0	0	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2				534	998	True	1018	1556;1557	1620;1621	1620		
sp|Q16658|FSCN1_HUMAN	sp|Q16658|FSCN1_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|Q16658|FSCN1_HUMAN Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3	1	3	3	3	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	7.1	7.1	7.1	54.529	493	493	0	20.777	0	0	0	5.3	1.8	1.8	1085200	0	0	0	197200	643820	244180	0	0	0	32789	0	0	0	0	0	2	1	1	4				535	1035;1202;1831	True;True;True	1055;1224;1864	1623;1858;1859;2815	1688;1928;1929;2917	1688;1929;2917		
sp|Q16665|HIF1A_HUMAN	sp|Q16665|HIF1A_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q16665|HIF1A_HUMAN Hypoxia-inducible factor 1-alpha OS=Homo sapiens OX=9606 GN=HIF1A PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.3	1.3	1.3	92.669	826	826	1	-2	0	0	0	0	0	1.3	24817	0	0	0	0	0	24817	0	0	0	0	0	3961.6	0	0	0	0	0	0	0	+			536	1085	True	1106	1693	1759	1759	110	1
sp|Q16799|RTN1_HUMAN	sp|Q16799|RTN1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q16799|RTN1_HUMAN Reticulon-1 OS=Homo sapiens OX=9606 GN=RTN1 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	83.617	776	776	0.0016584	5.886	0	0	0	1	0	0	140200	0	0	0	140200	0	0	0	0	0	23311	0	0	0	0	0	1	0	0	1				537	1470	True	1496	2256	2336	2336		
sp|Q16878|CDO1_HUMAN	sp|Q16878|CDO1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q16878|CDO1_HUMAN Cysteine dioxygenase type 1 OS=Homo sapiens OX=9606 GN=CDO1 PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	4	4	22.972	200	200	0.0016722	5.8924	0	0	0	4	0	0	474050	0	0	0	474050	0	0	0	0	0	78822	0	0	0	0	0	1	0	0	1				538	1087	True	1108	1695	1761	1761		
sp|Q16881|TRXR1_HUMAN	sp|Q16881|TRXR1_HUMAN	8	8	8	0		0		0		0		0		0		0		sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3	1	8	8	8	0	0	0	4	6	2	0	0	0	4	6	2	0	0	0	4	6	2	15.1	15.1	15.1	70.905	649	649	0	69.243	0	0	0	8.8	11.6	4.9	5956300	0	0	0	306450	4207200	1442600	0	0	0	0	326380	268900	0	0	0	4	6	2	12				539	674;682;967;1065;1638;1640;1770;1828	True;True;True;True;True;True;True;True	685;693;986;1085;1666;1668;1800;1861	1025;1026;1041;1042;1516;1668;2511;2513;2715;2716;2717;2811	1056;1057;1072;1073;1578;1733;2602;2604;2816;2817;2818;2913	1056;1073;1578;1733;2602;2604;2817;2913	111	220
sp|Q16891|MIC60_HUMAN	sp|Q16891|MIC60_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q16891|MIC60_HUMAN MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2.9	2.9	2.9	83.677	758	758	0	14.168	0	0	0	0	1.2	1.7	215850	0	0	0	0	0	215850	0	0	0	0	0	34456	0	0	0	0	1	1	2				540	1006;1776	True;True	1026;1807	1573;2728	1638;2829	1638;2829		
sp|Q32P28|P3H1_HUMAN	sp|Q32P28|P3H1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q32P28|P3H1_HUMAN Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2	2	2	83.393	736	736	0	7.792	0	0	0	2	2	0	155400	0	0	0	57646	97756	0	0	0	0	0	8480.7	0	0	0	0	1	1	0	2				541	164	True	167	275;276	284;285	284		
sp|Q5H9F3|BCORL_HUMAN	sp|Q5H9F3|BCORL_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q5H9F3|BCORL_HUMAN BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.6	0.6	0.6	182.52	1711	1711	0	6.1071	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				542	1296	True	1319	1998	2069	2069		
sp|Q5T2N8|ATD3C_HUMAN;sp|Q9NVI7|ATD3A_HUMAN;sp|Q5T9A4|ATD3B_HUMAN	sp|Q5T2N8|ATD3C_HUMAN;sp|Q9NVI7|ATD3A_HUMAN;sp|Q5T9A4|ATD3B_HUMAN	1;1;1	1;1;1	1;1;1	0		0		0		0		0		0		0		sp|Q5T2N8|ATD3C_HUMAN ATPase family AAA domain-containing protein 3C OS=Homo sapiens OX=9606 GN=ATAD3C PE=2 SV=2;sp|Q9NVI7|ATD3A_HUMAN ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2;sp|Q5T9A4|ATD3B_HUMAN ATPase f	3	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.9	1.9	1.9	46.379	411	411;634;648	0.0016639	5.8894	0	0	0	0	0	1.9	91328	0	0	0	0	0	91328	0	0	0	0	0	14579	0	0	0	0	0	1	1				543	773	True	787	1207	1254	1254		
sp|Q5TZA2|CROCC_HUMAN	sp|Q5TZA2|CROCC_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q5TZA2|CROCC_HUMAN Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.4	0.4	0.4	228.52	2017	2017	0.0017762	5.9818	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				544	844	True	858	1309	1359	1359		
sp|Q6IBS0|TWF2_HUMAN	sp|Q6IBS0|TWF2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q6IBS0|TWF2_HUMAN Twinfilin-2 OS=Homo sapiens OX=9606 GN=TWF2 PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2.3	2.3	2.3	39.548	349	349	0	6.1122	0	0	0	0	2.3	0	72104	0	0	0	0	72104	0	0	0	0	0	6255.3	0	0	0	0	0	1	0	1				545	227	True	230	372	386	386		
sp|Q6P2Q9|PRP8_HUMAN	sp|Q6P2Q9|PRP8_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	1	3	3	3	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	1.2	1.2	1.2	273.6	2335	2335	0	18.109	0	0	0	0.4	0.8	0.3	296950	0	0	0	29475	213910	53560	0	0	0	0	18558	0	0	0	0	1	2	1	4				546	1171;1293;1481	True;True;True	1193;1316;1508	1815;1816;1993;2275	1884;1885;2064;2355	1885;2064;2355		
sp|Q6UWP8|SBSN_HUMAN	sp|Q6UWP8|SBSN_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|Q6UWP8|SBSN_HUMAN Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	8.5	8.5	8.5	60.54	590	590	0	18.487	0	0	0	3.1	2.4	3.1	275490	0	0	0	78838	0	196650	0	0	0	0	0	31391	0	0	0	1	1	1	3				547	83;319;1603	True;True;True	85;325;1631	142;510;2460	144;528;2549	144;528;2549		
sp|Q6WKZ4|RFIP1_HUMAN	sp|Q6WKZ4|RFIP1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q6WKZ4|RFIP1_HUMAN Rab11 family-interacting protein 1 OS=Homo sapiens OX=9606 GN=RAB11FIP1 PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	137.17	1283	1283	1	-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	+			548	915	True	934	1437	1497	1497	112;113	1182;1185
sp|Q6ZMZ3|SYNE3_HUMAN	sp|Q6ZMZ3|SYNE3_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q6ZMZ3|SYNE3_HUMAN Nesprin-3 OS=Homo sapiens OX=9606 GN=SYNE3 PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1.4	1.4	1.4	112.22	975	975	0.0033058	5.881	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				549	1075	True	1095	1682	1748	1748	114	67
sp|Q6ZRQ5|MMS22_HUMAN	sp|Q6ZRQ5|MMS22_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q6ZRQ5|MMS22_HUMAN Protein MMS22-like OS=Homo sapiens OX=9606 GN=MMS22L PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.8	0.8	0.8	142.32	1243	1243	1	-2	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	+			550	1434	True	1460	2199	2279	2279	115;116	458;461
sp|Q71RS6|NCKX5_HUMAN	sp|Q71RS6|NCKX5_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q71RS6|NCKX5_HUMAN Sodium/potassium/calcium exchanger 5 OS=Homo sapiens OX=9606 GN=SLC24A5 PE=1 SV=1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2.2	2.2	2.2	54.888	500	500	0	6.1943	0	0	2.2	0	0	0	66071	0	0	66071	0	0	0	0	0	45704	0	0	0	0	0	1	0	0	0	1				551	1117	True	1139	1736	1802	1802	117	1
sp|Q7KZF4|SND1_HUMAN	sp|Q7KZF4|SND1_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	1	4	4	4	0	0	0	3	1	4	0	0	0	3	1	4	0	0	0	3	1	4	4.6	4.6	4.6	102	910	910	0	26.903	0	0	0	3.5	1.4	4.6	773510	0	0	0	429910	0	343600	0	0	0	71482	0	0	0	0	0	3	1	4	8				552	688;1240;1411;1452	True;True;True;True	699;1262;1436;1478	1050;1051;1910;1911;2163;2228;2229;2230	1081;1082;1980;1981;2243;2308;2309;2310	1081;1980;2243;2308		
sp|Q7L014|DDX46_HUMAN	sp|Q7L014|DDX46_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q7L014|DDX46_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.8	0.8	0.8	117.36	1031	1031	0.0016807	5.8929	0	0	0	0	0.8	0	163480	0	0	0	0	163480	0	0	0	0	0	14183	0	0	0	0	0	1	0	1				553	373	True	380	587	606	606		
