Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type B1	Identification type B2	Identification type B3	Identification type H1	Identification type H2	Identification type H3	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q13247|SRSF6_HUMAN;sp|Q08170|SRSF4_HUMAN	sp|Q13247|SRSF6_HUMAN	4;1	4;1	3;0	0		0		0		0		0		0		0		sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2	2	4	4	3	0	0	1	3	3	4	0	0	1	3	3	4	0	0	1	2	2	3	9.9	9.9	7.3	39.586	344	344;494	0	28.455			By matching	By MS/MS	By MS/MS	By MS/MS	0	0	2.6	7.3	7.3	9.9	2022500	0	0	3722.6	491150	812860	714730	0	0	0	54726	47223	65997	0	0	0	3	3	3	9				491	859;932;947;1553	True;True;True;True	874;951;966;1581	1570;1571;1572;1730;1731;1732;1765;1766;1767;2806;2807	1383;1384;1525;1526;1527;1552;1553;2469;2470	1383;1525;1552;2469		
sp|Q13263|TIF1B_HUMAN	sp|Q13263|TIF1B_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q13263|TIF1B_HUMAN Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.4	1.4	1.4	88.549	835	835	0	6.0572						By MS/MS	0	0	0	0	0	1.4	171220	0	0	0	0	0	171220	0	0	0	0	0	18265	0	0	0	0	0	1	1				492	244	True	249	478	416	416		
sp|Q13283|G3BP1_HUMAN	sp|Q13283|G3BP1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	2.6	2.6	2.6	52.164	466	466	0	6.404				By MS/MS	By MS/MS	By matching	0	0	0	2.6	2.6	2.6	342300	0	0	0	86261	174010	82033	0	0	0	0	0	8751.1	0	0	0	1	1	0	2				493	1719	True	1749	3093;3094;3095	2736;2737	2736		
sp|Q13347|EIF3I_HUMAN	sp|Q13347|EIF3I_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q13347|EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1	1	2	2	2	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	5.5	5.5	5.5	36.501	325	325	0	11.917				By MS/MS	By matching	By MS/MS	0	0	0	5.5	2.8	2.8	456560	0	0	0	228710	129030	98819	0	0	0	22474	0	0	0	0	0	2	0	1	3				494	1248;1386	True;True	1270;1411	2273;2505;2506;2507	1991;2202;2203	1991;2202		
sp|Q13442|HAP28_HUMAN	sp|Q13442|HAP28_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q13442|HAP28_HUMAN 28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens OX=9606 GN=PDAP1 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	5.5	5.5	5.5	20.63	181	181	0.007874	5.7968					By MS/MS		0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				495	1761	True	1791	3175	2807	2807		
sp|Q13459|MYO9B_HUMAN	sp|Q13459|MYO9B_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q13459|MYO9B_HUMAN Unconventional myosin-IXb OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.4	0.4	0.4	243.4	2157	2157	0.0078125	5.7916				By MS/MS			0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				496	1827	True	1860	3294	2912	2912		
sp|Q13501|SQSTM_HUMAN	sp|Q13501|SQSTM_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q13501|SQSTM_HUMAN Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1	1	2	2	2	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	10.5	10.5	10.5	47.687	440	440	0	29.615				By MS/MS	By MS/MS		0	0	0	10.5	5.9	0	502510	0	0	0	341110	161400	0	0	0	0	0	8625.2	0	0	0	0	2	1	0	3				497	49;1165	True;True	50;1187	96;97;2140	79;80;1875	79;1875	103	121
sp|Q13509|TBB3_HUMAN;sp|Q9BUF5|TBB6_HUMAN	sp|Q13509|TBB3_HUMAN;sp|Q9BUF5|TBB6_HUMAN	6;3	1;1	1;1	0		0		0		0		0		0		0		sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1	2	6	1	1	1	0	0	5	3	2	0	0	0	1	1	1	0	0	0	1	1	1	14.4	2	2	50.432	450	450;446	0	6.849	By matching			By MS/MS	By MS/MS	By MS/MS	2	0	0	11.1	7.6	4.2	769510	0	0	0	286210	321890	161400	0	0	0	0	0	17218	0	0	0	1	1	1	3				498	74;725;748;853;1163;1833	False;False;False;False;False;True	76;738;761;762;868;1185;1866	151;1331;1376;1377;1378;1379;1380;1561;2136;2137;3308;3309;3310	128;1162;1204;1205;1206;1207;1208;1374;1872;2921;2922;2923	128;1162;1205;1374;1872;2921	32;33;37;38	164;299;300;388
sp|Q13813|SPTN1_HUMAN	sp|Q13813|SPTN1_HUMAN	11	11	11	0		0		0		0		0		0		0		sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	1	11	11	11	0	0	0	7	5	3	0	0	0	7	5	3	0	0	0	7	5	3	5.3	5.3	5.3	284.54	2472	2472	0	94.534				By MS/MS	By MS/MS	By MS/MS	0	0	0	3.2	2.4	1.3	1208300	0	0	0	523950	462700	221690	0	0	0	30687	30824	38350	0	0	0	7	5	3	15				499	98;621;761;926;940;996;1116;1189;1413;1440;1449	True;True;True;True;True;True;True;True;True;True;True	100;632;775;945;959;1016;1138;1211;1438;1466;1475	198;1131;1403;1404;1405;1718;1744;1839;2057;2182;2555;2604;2623;2624;2625	168;978;1230;1231;1232;1513;1537;1617;1801;1910;2246;2288;2303;2304;2305	168;978;1230;1513;1537;1617;1801;1910;2246;2288;2303		
sp|Q13868|EXOS2_HUMAN	sp|Q13868|EXOS2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q13868|EXOS2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3.8	3.8	3.8	32.789	293	293	1	-2				By MS/MS			0	0	0	3.8	0	0	150250	0	0	0	150250	0	0	0	0	0	14765	0	0	0	0	0	0	0	0	0	+			500	1352	True	1376	2443	2148	2148	104	131
sp|Q14019|COTL1_HUMAN	sp|Q14019|COTL1_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|Q14019|COTL1_HUMAN Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3	1	3	3	3	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	23.2	23.2	23.2	15.945	142	142	0	20.173				By MS/MS	By MS/MS	By MS/MS	0	0	0	12	11.3	11.3	661080	0	0	0	137250	327160	196670	0	0	0	0	0	20980	0	0	0	2	1	1	4				501	377;442;490	True;True;True	384;449;498	709;822;823;909	610;704;705;783	610;704;783		
sp|Q14103|HNRPD_HUMAN	sp|Q14103|HNRPD_HUMAN	3	3	2	0		0		0		0		0		0		0		sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1	1	3	3	2	0	0	0	1	3	2	0	0	0	1	3	2	0	0	0	1	2	1	7.3	7.3	5.1	38.434	355	355	0	19.769				By MS/MS	By MS/MS	By MS/MS	0	0	0	2.3	7.3	5.1	1983700	0	0	0	0	1979700	4036.3	0	0	0	0	105790	0	0	0	0	1	4	1	6				502	457;519;523	True;True;True	464;528;532	849;850;851;955;956;962;963	732;733;734;824;825;831	732;825;831		
sp|Q14137|BOP1_HUMAN	sp|Q14137|BOP1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1.3	1.3	1.3	83.629	746	746	0	15.485					By MS/MS	By matching	0	0	0	0	1.3	1.3	97951	0	0	0	0	71097	26854	0	0	0	0	0	2864.7	0	0	0	0	1	0	1				503	1020	True	1040	1894;1895	1666	1666		
sp|Q14152|EIF3A_HUMAN	sp|Q14152|EIF3A_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.7	0.7	0.7	166.57	1382	1382	0.0078003	5.791					By MS/MS		0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				504	1141	True	1163	2095	1836	1836		
sp|Q14157|UBP2L_HUMAN	sp|Q14157|UBP2L_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q14157|UBP2L_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2.5	2.5	2.5	114.53	1087	1087	0	14.63				By MS/MS	By MS/MS		0	0	0	1.7	0.8	0	328030	0	0	0	111290	216740	0	0	0	0	10936	0	0	0	0	0	1	1	0	2				505	654;1178	True;True	665;1200	1190;2166	1030;1896	1030;1896		
sp|Q14195|DPYL3_HUMAN	sp|Q14195|DPYL3_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q14195|DPYL3_HUMAN Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1	1	2	2	2	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	5.1	5.1	5.1	61.963	570	570	0	12.161				By MS/MS	By MS/MS	By MS/MS	0	0	0	3.3	1.8	1.8	183170	0	0	0	0	84372	98799	0	0	0	0	0	10540	0	0	0	1	1	2	4				506	1155;1360	True;True	1177;1385	2120;2456;2457	1857;2160;2161;2162	1857;2161		
sp|Q14204|DYHC1_HUMAN	sp|Q14204|DYHC1_HUMAN	5	5	5	0		0		0		0		0		0		0		sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	1	5	5	5	0	0	0	2	4	2	0	0	0	2	4	2	0	0	0	2	4	2	1.2	1.2	1.2	532.4	4646	4646	0	42.058				By MS/MS	By MS/MS	By MS/MS	0	0	0	0.5	1	0.4	690320	0	0	0	101230	465910	123170	0	0	0	0	16505	21533	0	0	0	2	3	1	6				507	854;1471;1586;1725;1751	True;True;True;True;True	869;1497;1614;1755;1781	1562;2660;2661;2860;3107;3108;3109;3161	1375;2337;2524;2747;2748;2794	1375;2337;2524;2748;2794		
sp|Q14247|SRC8_HUMAN	sp|Q14247|SRC8_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q14247|SRC8_HUMAN Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2	1	2	2	2	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	3.3	3.3	3.3	61.585	550	550	0	11.759				By MS/MS	By MS/MS	By matching	0	0	0	3.3	1.5	1.5	430530	0	0	0	151200	166950	112380	0	0	0	0	0	11386	0	0	0	2	1	0	3				508	109;1810	True;True	112;1842	218;219;220;221;222;3263	185;186;2883	185;2883		
sp|Q14444|CAPR1_HUMAN	sp|Q14444|CAPR1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.6	1.6	1.6	78.365	709	709	0	6.5901						By MS/MS	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				509	975	True	995	1808	1592	1592		
sp|Q14566|MCM6_HUMAN	sp|Q14566|MCM6_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	3.5	3.5	3.5	92.888	821	821	0	12.387				By MS/MS	By MS/MS		0	0	0	1.6	1.9	0	123480	0	0	0	0	123480	0	0	0	0	0	6598.5	0	0	0	0	1	1	0	2				510	389;1571	True;True	396;1599	728;2840	627;2503	627;2503		
sp|Q14697|GANAB_HUMAN	sp|Q14697|GANAB_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3	1	4	4	4	0	0	0	3	1	1	0	0	0	3	1	1	0	0	0	3	1	1	4.4	4.4	4.4	106.87	944	944	0	24.148				By MS/MS	By MS/MS	By matching	0	0	0	3.6	0.8	0.8	198360	0	0	0	69952	87398	41012	0	0	0	6873.8	0	0	0	0	0	3	1	0	4				511	218;400;552;1774	True;True;True;True	221;407;561;1805	429;755;1014;3195;3196	373;647;875;2825	373;647;875;2825		
sp|Q14974|IMB1_HUMAN	sp|Q14974|IMB1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	1	2	2	2	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	3.5	3.5	3.5	97.169	876	876	0	13.888				By MS/MS	By MS/MS		0	0	0	1.8	3.5	0	1572600	0	0	0	490920	1081600	0	0	0	0	0	57802	0	0	0	0	1	2	0	3				512	11;946	True;True	11;965	17;1763;1764	15;1550;1551	15;1551		
sp|Q14980|NUMA1_HUMAN	sp|Q14980|NUMA1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.7	0.7	0.7	238.26	2115	2115	0	7.4248					By MS/MS		0	0	0	0	0.7	0	178530	0	0	0	0	178530	0	0	0	0	0	9540.4	0	0	0	0	0	1	0	1				513	1403	True	1428	2533	2227	2227		
sp|Q15008|PSMD6_HUMAN	sp|Q15008|PSMD6_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15008|PSMD6_HUMAN 26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3.1	3.1	3.1	45.531	389	389	0.0078864	5.8035				By MS/MS			0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				514	686	True	697	1248	1079	1079		
sp|Q15056|IF4H_HUMAN	sp|Q15056|IF4H_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15056|IF4H_HUMAN Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	8.5	8.5	8.5	27.385	248	248	0	9.655						By MS/MS	0	0	0	0	0	8.5	329990	0	0	0	0	0	329990	0	0	0	0	0	35202	0	0	0	0	0	1	1				515	1584	True	1612	2858	2522	2522		
sp|Q15149|PLEC_HUMAN;sp|Q9UPN3|MACF1_HUMAN	sp|Q15149|PLEC_HUMAN	49;1	49;1	49;1	0		0		0		0		0		0		0		sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	2	49	49	49	6	6	5	29	31	28	6	6	5	29	31	28	6	6	5	29	31	28	11.3	11.3	11.3	531.78	4684	4684;7388	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.6	1.4	1.1	6.4	7.5	6.2	18691000	188620	346430	422270	4053300	9692800	3987300	148740	231570	333510	426310	407240	490690	2	1	3	29	24	22	81				516	119;121;123;124;126;130;134;213;294;437;553;712;821;832;848;875;885;939;980;991;992;1000;1007;1016;1018;1019;1031;1033;1036;1113;1255;1260;1264;1285;1289;1302;1353;1363;1368;1378;1399;1414;1442;1443;1453;1475;1606;1672;1724	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	122;124;126;127;129;133;137;216;300;444;562;725;835;846;863;892;902;958;1000;1011;1012;1020;1027;1036;1038;1039;1051;1053;1056;1135;1277;1282;1286;1308;1312;1325;1377;1388;1393;1403;1424;1439;1468;1469;1479;1501;1634;1700;1754	234;235;236;237;238;240;241;242;243;245;246;247;248;250;257;264;265;266;419;420;557;558;559;560;816;1015;1016;1311;1495;1496;1497;1520;1521;1522;1549;1610;1631;1632;1743;1817;1830;1831;1832;1833;1848;1849;1864;1865;1881;1882;1883;1884;1891;1892;1893;1913;1914;1915;1917;1918;1921;1922;1923;1924;1925;2050;2051;2052;2053;2054;2289;2290;2291;2299;2300;2301;2310;2341;2342;2348;2349;2368;2444;2445;2461;2462;2463;2471;2488;2489;2523;2524;2525;2526;2556;2606;2607;2631;2668;2896;2897;2898;3003;3104;3105;3106	197;198;199;200;201;203;204;205;206;207;209;210;212;219;226;364;365;484;485;699;876;1141;1320;1321;1322;1323;1339;1340;1364;1417;1435;1436;1536;1600;1612;1613;1624;1625;1639;1640;1654;1655;1656;1657;1663;1664;1665;1683;1685;1686;1689;1690;1796;1797;1798;2004;2005;2006;2014;2015;2016;2022;2051;2056;2057;2077;2149;2150;2166;2167;2177;2191;2219;2220;2247;2290;2291;2311;2342;2553;2554;2651;2745;2746	200;206;209;210;212;219;226;365;485;699;876;1141;1322;1339;1364;1417;1436;1536;1600;1612;1613;1624;1640;1656;1663;1665;1683;1686;1690;1796;2006;2014;2022;2051;2057;2077;2149;2166;2177;2191;2220;2247;2290;2291;2311;2342;2554;2651;2746		
sp|Q15181|IPYR_HUMAN	sp|Q15181|IPYR_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15181|IPYR_HUMAN Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	9.3	9.3	9.3	32.66	289	289	0	12.136				By MS/MS	By MS/MS		0	0	0	2.8	6.6	0	95862	0	0	0	95862	0	0	0	0	0	9419.8	0	0	0	0	0	1	1	0	2				517	231;627	True;True	235;638	458;1144	397;988	397;988		
sp|Q15233|NONO_HUMAN	sp|Q15233|NONO_HUMAN	6	5	5	0		0		0		0		0		0		0		sp|Q15233|NONO_HUMAN Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	1	6	5	5	0	1	0	2	4	3	0	0	0	2	3	2	0	0	0	2	3	2	11.3	9.6	9.6	54.231	471	471	0	29.734		By matching		By MS/MS	By MS/MS	By matching	0	1.7	0	3.6	7.6	5.1	1178600	0	0	0	242870	710900	224820	0	0	0	0	34223	27750	0	0	0	2	3	0	5				518	90;176;543;882;1339;1637	True;False;True;True;True;True	92;179;552;899;1363;1665	185;186;352;353;354;996;1625;2424;2948;2949	157;307;858;1430;2130;2601	157;307;858;1430;2130;2601	105	326
sp|Q15365|PCBP1_HUMAN;sp|P57721|PCBP3_HUMAN	sp|Q15365|PCBP1_HUMAN;sp|P57721|PCBP3_HUMAN	3;2	3;2	1;0	0		0		0		0		0		0		0		sp|Q15365|PCBP1_HUMAN Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2;sp|P57721|PCBP3_HUMAN Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=2	2	3	3	1	0	0	1	2	2	1	0	0	1	2	2	1	0	0	1	1	1	1	12.4	12.4	3.7	37.497	356	356;371	0	40.281			By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	3.7	9.3	6.7	3.7	949330	0	0	0	94180	485680	369470	0	0	0	0	0	39415	0	0	1	2	2	1	6				519	415;701;729	True;True;True	422;714;742	777;1286;1287;1288;1289;1337	667;1120;1121;1122;1123;1167	667;1122;1167	106	137
sp|Q15366|PCBP2_HUMAN	sp|Q15366|PCBP2_HUMAN	3	1	1	0		0		0		0		0		0		0		sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1	1	3	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	12.1	3.6	3.6	38.58	365	365	0	11.399				By matching	By MS/MS		0	0	0	5.5	6.6	0	349040	0	0	0	0	349040	0	0	0	0	0	18653	0	0	0	0	0	1	0	1				520	415;700;729	False;True;False	422;713;742	777;1285;1337	667;1119;1167	667;1119;1167	106	137
sp|Q15369|ELOC_HUMAN	sp|Q15369|ELOC_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15369|ELOC_HUMAN Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	10.7	10.7	10.7	12.473	112	112	0	6.63						By MS/MS	0	0	0	0	0	10.7	167560	0	0	0	0	0	167560	0	0	0	0	0	17875	0	0	0	0	0	1	1				521	929	True	948	1722	1517	1517		
sp|Q15370|ELOB_HUMAN	sp|Q15370|ELOB_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|Q15370|ELOB_HUMAN Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1	1	4	4	4	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	41.5	41.5	41.5	13.133	118	118	0	23.34				By MS/MS	By MS/MS	By MS/MS	0	0	0	13.6	6.8	21.2	253750	0	0	0	128610	0	125130	0	0	0	12638	0	0	0	0	0	2	1	1	4				522	414;776;1542;1579	True;True;True;True	421;790;1569;1607	776;1431;2791;2853	666;1259;2455;2517	666;1259;2455;2517		
sp|Q15382|RHEB_HUMAN	sp|Q15382|RHEB_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15382|RHEB_HUMAN GTP-binding protein Rheb OS=Homo sapiens OX=9606 GN=RHEB PE=1 SV=1	1	2	2	2	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	9.2	9.2	9.2	20.497	184	184	0	11.983				By MS/MS	By MS/MS		0	0	0	9.2	5.4	0	144320	0	0	0	58087	86234	0	0	0	0	0	4608.3	0	0	0	0	2	2	0	4				523	399;642	True;True	406;653	753;754;1167	644;645;646;1012	646;1012		
sp|Q15413|RYR3_HUMAN	sp|Q15413|RYR3_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q15413|RYR3_HUMAN Ryanodine receptor 3 OS=Homo sapiens OX=9606 GN=RYR3 PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.2	0.2	0.2	552.04	4870	4870	1	-2				By MS/MS			0	0	0	0.2	0	0	13265	0	0	0	13265	0	0	0	0	0	1303.5	0	0	0	0	0	0	0	0	0	+			524	1104	True	1126	2034	1783	1783	107;108	1981;1982
sp|Q15459|SF3A1_HUMAN	sp|Q15459|SF3A1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1	1	2	2	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	2.6	2.6	2.6	88.885	793	793	0	19.579					By MS/MS	By MS/MS	0	0	0	0	2.6	1.5	318630	0	0	0	0	204860	113770	0	0	0	0	10948	0	0	0	0	0	1	1	2				525	673;1733	True;True	684;1763	1221;1222;3122	1054;1055;2761	1055;2761	109	714
sp|Q15691|MARE1_HUMAN	sp|Q15691|MARE1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3	1	2	2	2	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	7.5	7.5	7.5	29.999	268	268	0	16.624				By MS/MS	By MS/MS	By MS/MS	0	0	0	7.5	3.7	3.7	807450	0	0	0	265200	389220	153030	0	0	0	0	0	16325	0	0	0	3	1	1	5				526	879;1032	True;True	896;1052	1615;1616;1617;1618;1916	1423;1424;1425;1426;1684	1425;1684		
